[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux005_resnet1d_20260327-170111.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=1/8 step=87/100 loss=0.526294 grad_norm=0.392 action_cls=3.291645 action_acc=0.016
[train] epoch=1/8 step=88/100 loss=0.517623 grad_norm=0.398 action_cls=3.285229 action_acc=0.062
[train] epoch=1/8 step=89/100 loss=0.536334 grad_norm=0.412 action_cls=3.310502 action_acc=0.016
[train] epoch=1/8 step=90/100 loss=0.538852 grad_norm=0.481 action_cls=3.317484 action_acc=0.047
[train] epoch=1/8 step=91/100 loss=0.544075 grad_norm=0.456 action_cls=3.300737 action_acc=0.016
[train] epoch=1/8 step=92/100 loss=0.545846 grad_norm=0.399 action_cls=3.299977 action_acc=0.016
[train] epoch=1/8 step=93/100 loss=0.538969 grad_norm=0.424 action_cls=3.299804 action_acc=0.000
[train] epoch=1/8 step=94/100 loss=0.548059 grad_norm=0.386 action_cls=3.299329 action_acc=0.031
[train] epoch=1/8 step=95/100 loss=0.535854 grad_norm=0.443 action_cls=3.287715 action_acc=0.031
[train] epoch=1/8 step=96/100 loss=0.579021 grad_norm=0.346 action_cls=3.289932 action_acc=0.047
[train] epoch=1/8 step=97/100 loss=0.508749 grad_norm=0.569 action_cls=3.308110 action_acc=0.000
[train] epoch=1/8 step=98/100 loss=0.519351 grad_norm=0.377 action_cls=3.284878 action_acc=0.062
[train] epoch=1/8 step=99/100 loss=0.539187 grad_norm=0.448 action_cls=3.300709 action_acc=0.031
[train] epoch=1/8 step=100/100 loss=0.533922 grad_norm=0.420 action_cls=3.313742 action_acc=0.016
[epoch_summary] epoch=1/8 time_epoch=175.0s elapsed=175.0s eta=1225.3s lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000 selection_mode=diversity_first selection_score=0.218688 train_loss=0.673320 val_loss=0.440794 val_nmpjpe=0.201009 train_pose=0.046276 train_rel=0.086266 train_dist=0.278700 train_dir=0.109989 train_var=0.014416 train_batch_div=0.123463 train_inter_div=0.120502 train_intra_div=0.268385 val_pose=0.020947 val_rel=0.041181 val_dist=0.174891 val_dir=0.057079 val_var=0.039037 val_batch_div=0.485081 val_inter_div=0.009393 val_intra_div=0.485005 train_std=0.148608/0.166578 train_std_ratio=0.895888 val_std=0.014389/0.086730 val_std_ratio=0.196630 train_pair_dist=1.226665/1.545196 train_pair_ratio=0.795948 val_pair_dist=0.115061/0.881006 val_pair_ratio=0.153600 train_inter_pair=1.226789/1.565175 train_inter_ratio=0.785879 val_inter_pair=0.002857/0.033503 val_inter_ratio=0.001917 train_intra_pair=1.223299/1.024668 train_intra_ratio=1.206165 val_intra_pair=0.114872/0.875789 val_intra_ratio=0.154197 train_action_cls=3.301943 train_action_acc=0.038 val_action_cls=3.298791 val_action_acc=0.037 grad_norm_mean=1.049 nan_loss=False nan_grad=False actions_covered=27 envs_covered=2
[ckpt] saved_last path=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\checkpoints\ablation_meanrms_interdiv_divsel_actionaux005_last.pth epoch=1
[ckpt] saved path=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\checkpoints\ablation_meanrms_interdiv_divsel_actionaux005.pth epoch=1 best_selection_score=0.218688 val_nmpjpe=0.201009
[epoch_start] epoch=2/8 train_size=160380 val_size=80190 test_size=80190 lr=3.000e-04 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=1/100 loss=0.542104 grad_norm=0.348 action_cls=3.303332 action_acc=0.047
[train] epoch=2/8 step=2/100 loss=0.524533 grad_norm=0.392 action_cls=3.304469 action_acc=0.031
[train] epoch=2/8 step=3/100 loss=0.521919 grad_norm=0.374 action_cls=3.290852 action_acc=0.062
[train] epoch=2/8 step=4/100 loss=0.530127 grad_norm=0.327 action_cls=3.310270 action_acc=0.031
[train] epoch=2/8 step=5/100 loss=0.531141 grad_norm=0.413 action_cls=3.315461 action_acc=0.047
[train] epoch=2/8 step=6/100 loss=0.549431 grad_norm=0.412 action_cls=3.296136 action_acc=0.047
[train] epoch=2/8 step=7/100 loss=0.521303 grad_norm=0.298 action_cls=3.275054 action_acc=0.047
[train] epoch=2/8 step=8/100 loss=0.551208 grad_norm=0.444 action_cls=3.299963 action_acc=0.047
[train] epoch=2/8 step=9/100 loss=0.552587 grad_norm=0.380 action_cls=3.292047 action_acc=0.031
[train] epoch=2/8 step=10/100 loss=0.545343 grad_norm=0.512 action_cls=3.290193 action_acc=0.047
[train] epoch=2/8 step=11/100 loss=0.533649 grad_norm=0.444 action_cls=3.285715 action_acc=0.000
[train] epoch=2/8 step=12/100 loss=0.516612 grad_norm=0.424 action_cls=3.282541 action_acc=0.031
[train] epoch=2/8 step=13/100 loss=0.564374 grad_norm=0.467 action_cls=3.292454 action_acc=0.031
[train] epoch=2/8 step=14/100 loss=0.551197 grad_norm=0.371 action_cls=3.312497 action_acc=0.016
[train] epoch=2/8 step=15/100 loss=0.510757 grad_norm=0.421 action_cls=3.300000 action_acc=0.016
[train] epoch=2/8 step=16/100 loss=0.511278 grad_norm=0.372 action_cls=3.291661 action_acc=0.047
[train] epoch=2/8 step=17/100 loss=0.537633 grad_norm=0.326 action_cls=3.308491 action_acc=0.016
[train] epoch=2/8 step=18/100 loss=0.545782 grad_norm=0.471 action_cls=3.290280 action_acc=0.047
[train] epoch=2/8 step=19/100 loss=0.504794 grad_norm=0.467 action_cls=3.285457 action_acc=0.047
[train] epoch=2/8 step=20/100 loss=0.520511 grad_norm=0.288 action_cls=3.293102 action_acc=0.062
[train] epoch=2/8 step=21/100 loss=0.551983 grad_norm=0.423 action_cls=3.291423 action_acc=0.047
[train] epoch=2/8 step=22/100 loss=0.555302 grad_norm=0.397 action_cls=3.314869 action_acc=0.047
[train] epoch=2/8 step=23/100 loss=0.533743 grad_norm=0.494 action_cls=3.309342 action_acc=0.047
[train] epoch=2/8 step=24/100 loss=0.541617 grad_norm=0.319 action_cls=3.292246 action_acc=0.047
[train] epoch=2/8 step=25/100 loss=0.541366 grad_norm=0.326 action_cls=3.291054 action_acc=0.047
[train] epoch=2/8 step=26/100 loss=0.530734 grad_norm=0.394 action_cls=3.302342 action_acc=0.031
[train] epoch=2/8 step=27/100 loss=0.528164 grad_norm=0.477 action_cls=3.285968 action_acc=0.016
[train] epoch=2/8 step=28/100 loss=0.552660 grad_norm=0.510 action_cls=3.304569 action_acc=0.031
[train] epoch=2/8 step=29/100 loss=0.546264 grad_norm=0.437 action_cls=3.306568 action_acc=0.031
[train] epoch=2/8 step=30/100 loss=0.563137 grad_norm=0.370 action_cls=3.301086 action_acc=0.062
[train] epoch=2/8 step=31/100 loss=0.528959 grad_norm=0.500 action_cls=3.312794 action_acc=0.000
[train] epoch=2/8 step=32/100 loss=0.527171 grad_norm=0.470 action_cls=3.297987 action_acc=0.016
[train] epoch=2/8 step=33/100 loss=0.539531 grad_norm=0.391 action_cls=3.298163 action_acc=0.031
[train] epoch=2/8 step=34/100 loss=0.553102 grad_norm=0.365 action_cls=3.308331 action_acc=0.016
