[run] config=configs/default.yaml device=cuda:0
[run] model=resnet1d
[run] window_size=1
[run] normalize_mode=mean_rms
[run] aoa_cache_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\aoa_cache
[run] labels_root=D:\Files\WiFi_Pose\WiFiPoseV3\data\dataset
[run] val_env=env3 test_env=env4
[run] logs_file=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\logs\train\ablation_meanrms_interdiv_divsel_actionaux_resnet1d_20260327-164217.log
[run] selection_mode=diversity_first lambda_var=0.000 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=1/8 step=80/100 loss=1.048037 grad_norm=0.472 action_cls=3.303636 action_acc=0.031
[train] epoch=1/8 step=81/100 loss=1.101213 grad_norm=0.363 action_cls=3.302557 action_acc=0.047
[train] epoch=1/8 step=82/100 loss=1.037780 grad_norm=0.431 action_cls=3.297441 action_acc=0.016
[train] epoch=1/8 step=83/100 loss=1.048881 grad_norm=0.347 action_cls=3.293544 action_acc=0.078
[train] epoch=1/8 step=84/100 loss=1.005355 grad_norm=0.605 action_cls=3.280821 action_acc=0.094
[train] epoch=1/8 step=85/100 loss=1.021034 grad_norm=0.498 action_cls=3.301350 action_acc=0.047
[train] epoch=1/8 step=86/100 loss=1.060025 grad_norm=0.477 action_cls=3.295797 action_acc=0.016
[train] epoch=1/8 step=87/100 loss=1.021047 grad_norm=0.418 action_cls=3.291270 action_acc=0.016
[train] epoch=1/8 step=88/100 loss=1.011576 grad_norm=0.426 action_cls=3.289291 action_acc=0.062
[train] epoch=1/8 step=89/100 loss=1.031866 grad_norm=0.434 action_cls=3.300015 action_acc=0.016
[train] epoch=1/8 step=90/100 loss=1.034981 grad_norm=0.478 action_cls=3.309831 action_acc=0.016
[train] epoch=1/8 step=91/100 loss=1.038176 grad_norm=0.450 action_cls=3.300320 action_acc=0.000
[train] epoch=1/8 step=92/100 loss=1.039790 grad_norm=0.411 action_cls=3.303599 action_acc=0.000
[train] epoch=1/8 step=93/100 loss=1.032596 grad_norm=0.452 action_cls=3.293685 action_acc=0.000
[train] epoch=1/8 step=94/100 loss=1.041002 grad_norm=0.374 action_cls=3.297935 action_acc=0.016
[train] epoch=1/8 step=95/100 loss=1.029098 grad_norm=0.452 action_cls=3.289995 action_acc=0.016
[train] epoch=1/8 step=96/100 loss=1.071858 grad_norm=0.353 action_cls=3.287897 action_acc=0.047
[train] epoch=1/8 step=97/100 loss=1.007013 grad_norm=0.586 action_cls=3.310627 action_acc=0.016
[train] epoch=1/8 step=98/100 loss=1.012508 grad_norm=0.376 action_cls=3.285251 action_acc=0.078
[train] epoch=1/8 step=99/100 loss=1.034912 grad_norm=0.431 action_cls=3.304307 action_acc=0.016
[train] epoch=1/8 step=100/100 loss=1.030646 grad_norm=0.427 action_cls=3.310574 action_acc=0.000
[epoch_summary] epoch=1/8 time_epoch=65.5s elapsed=65.5s eta=458.2s lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000 selection_mode=diversity_first selection_score=0.230517 train_loss=1.168515 val_loss=0.935702 val_nmpjpe=0.201438 train_pose=0.046289 train_rel=0.086322 train_dist=0.278963 train_dir=0.109907 train_var=0.014306 train_batch_div=0.122894 train_inter_div=0.119935 train_intra_div=0.267898 val_pose=0.021014 val_rel=0.041289 val_dist=0.175026 val_dir=0.056991 val_var=0.038515 val_batch_div=0.479683 val_inter_div=0.009305 val_intra_div=0.479565 train_std=0.148738/0.166578 train_std_ratio=0.896712 val_std=0.014987/0.086730 val_std_ratio=0.204585 train_pair_dist=1.227861/1.545196 train_pair_ratio=0.796762 val_pair_dist=0.121813/0.881006 val_pair_ratio=0.162636 train_inter_pair=1.228000/1.565175 train_inter_ratio=0.786693 val_inter_pair=0.003024/0.033503 val_inter_ratio=0.002032 train_intra_pair=1.224072/1.024668 train_intra_ratio=1.207002 val_intra_pair=0.121635/0.875789 val_intra_ratio=0.163315 train_action_cls=3.301057 train_action_acc=0.036 val_action_cls=3.298503 val_action_acc=0.038 grad_norm_mean=1.067 nan_loss=False nan_grad=False actions_covered=27 envs_covered=2
[ckpt] saved_last path=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\checkpoints\ablation_meanrms_interdiv_divsel_actionaux_last.pth epoch=1
[ckpt] saved path=C:\Users\LuvRene\OneDrive\PythonProjects\Positioning\pose_estimationV2\checkpoints\ablation_meanrms_interdiv_divsel_actionaux.pth epoch=1 best_selection_score=0.230517 val_nmpjpe=0.201438
[epoch_start] epoch=2/8 train_size=160380 val_size=80190 test_size=80190 lr=3.000e-04 lambda_batch_div=0.000 lambda_inter_div=0.250 lambda_intra_div=0.000
[train] epoch=2/8 step=1/100 loss=1.037025 grad_norm=0.354 action_cls=3.298506 action_acc=0.062
[train] epoch=2/8 step=2/100 loss=1.020134 grad_norm=0.409 action_cls=3.300119 action_acc=0.031
[train] epoch=2/8 step=3/100 loss=1.015200 grad_norm=0.412 action_cls=3.286061 action_acc=0.047
[train] epoch=2/8 step=4/100 loss=1.026051 grad_norm=0.339 action_cls=3.307434 action_acc=0.031
[train] epoch=2/8 step=5/100 loss=1.023367 grad_norm=0.442 action_cls=3.300623 action_acc=0.062
[train] epoch=2/8 step=6/100 loss=1.042901 grad_norm=0.400 action_cls=3.291548 action_acc=0.047
[train] epoch=2/8 step=7/100 loss=1.012913 grad_norm=0.313 action_cls=3.274836 action_acc=0.047
[train] epoch=2/8 step=8/100 loss=1.045184 grad_norm=0.448 action_cls=3.293974 action_acc=0.062
[train] epoch=2/8 step=9/100 loss=1.046199 grad_norm=0.402 action_cls=3.291310 action_acc=0.031
[train] epoch=2/8 step=10/100 loss=1.038523 grad_norm=0.539 action_cls=3.289035 action_acc=0.062
[train] epoch=2/8 step=11/100 loss=1.027516 grad_norm=0.450 action_cls=3.287056 action_acc=0.016
[train] epoch=2/8 step=12/100 loss=1.008628 grad_norm=0.418 action_cls=3.283309 action_acc=0.031
[train] epoch=2/8 step=13/100 loss=1.058916 grad_norm=0.415 action_cls=3.292827 action_acc=0.047
[train] epoch=2/8 step=14/100 loss=1.048958 grad_norm=0.391 action_cls=3.313196 action_acc=0.031
[train] epoch=2/8 step=15/100 loss=1.004554 grad_norm=0.429 action_cls=3.297513 action_acc=0.031
[train] epoch=2/8 step=16/100 loss=1.006079 grad_norm=0.389 action_cls=3.292642 action_acc=0.031
[train] epoch=2/8 step=17/100 loss=1.034191 grad_norm=0.343 action_cls=3.308986 action_acc=0.016
[train] epoch=2/8 step=18/100 loss=1.037588 grad_norm=0.463 action_cls=3.287344 action_acc=0.031
[train] epoch=2/8 step=19/100 loss=0.999122 grad_norm=0.484 action_cls=3.296530 action_acc=0.031
[train] epoch=2/8 step=20/100 loss=1.015755 grad_norm=0.336 action_cls=3.287888 action_acc=0.047
[train] epoch=2/8 step=21/100 loss=1.048010 grad_norm=0.443 action_cls=3.299408 action_acc=0.047
[train] epoch=2/8 step=22/100 loss=1.053822 grad_norm=0.433 action_cls=3.320107 action_acc=0.047
[train] epoch=2/8 step=23/100 loss=1.031518 grad_norm=0.542 action_cls=3.306838 action_acc=0.016
[train] epoch=2/8 step=24/100 loss=1.035378 grad_norm=0.339 action_cls=3.289381 action_acc=0.016
[train] epoch=2/8 step=25/100 loss=1.036303 grad_norm=0.347 action_cls=3.296729 action_acc=0.047
[train] epoch=2/8 step=26/100 loss=1.023453 grad_norm=0.394 action_cls=3.299861 action_acc=0.047
[train] epoch=2/8 step=27/100 loss=1.018859 grad_norm=0.503 action_cls=3.285584 action_acc=0.031
[train] epoch=2/8 step=28/100 loss=1.048663 grad_norm=0.522 action_cls=3.306656 action_acc=0.016
[train] epoch=2/8 step=29/100 loss=1.041660 grad_norm=0.399 action_cls=3.302652 action_acc=0.031
[train] epoch=2/8 step=30/100 loss=1.058890 grad_norm=0.394 action_cls=3.302395 action_acc=0.016
[train] epoch=2/8 step=31/100 loss=1.026093 grad_norm=0.526 action_cls=3.306592 action_acc=0.031
[train] epoch=2/8 step=32/100 loss=1.021364 grad_norm=0.469 action_cls=3.295616 action_acc=0.031
[train] epoch=2/8 step=33/100 loss=1.034916 grad_norm=0.352 action_cls=3.301783 action_acc=0.000
[train] epoch=2/8 step=34/100 loss=1.047775 grad_norm=0.394 action_cls=3.298134 action_acc=0.047
[train] epoch=2/8 step=35/100 loss=1.009573 grad_norm=0.396 action_cls=3.297592 action_acc=0.062
[train] epoch=2/8 step=36/100 loss=1.007091 grad_norm=0.357 action_cls=3.278698 action_acc=0.047
[train] epoch=2/8 step=37/100 loss=1.044077 grad_norm=0.322 action_cls=3.296450 action_acc=0.016
[train] epoch=2/8 step=38/100 loss=1.031225 grad_norm=0.544 action_cls=3.289572 action_acc=0.031
